id,name,description,min_time,description_weak_student,description_average_student,description_above_average_student,description_strong_student,social_style_expressive,social_style_amiable,social_style_analytic,social_style_driver
1,Story-telling,Use stories to trigger memory of specific items / events,1-3,Creating stories to help remember and understand concepts or information. Example: Using a narrative to remember historical events.,Using storytelling techniques to enhance memory and recall of subject-specific details. Example: Creating a story to remember scientific processes.,Developing complex narratives to deepen understanding and retention of challenging topics. Example: Crafting a detailed story to remember complex mathematical concepts.,Crafting elaborate stories to reinforce and synthesize knowledge across multiple subjects. Example: Creating a narrative to connect concepts from different academic disciplines.,True,True,False,False
2,Sonic/Textual,Use repeating rhythm & sounds for recall memory,< 1,Utilizing repeated rhythm and sounds to aid memory and recall of specific items or events. Example: Using a mnemonic rhyme to remember important dates.,Applying sonic/textual techniques to reinforce understanding and retention of key information. Example: Using acronyms with a rhythmic pattern to remember scientific terms.,Experimenting with different sonic/textual patterns to enhance memory and cognitive processes. Example: Creating a musical composition to help memorize historical facts.,Creating intricate sonic/textual associations to deepen understanding and retention of complex subjects. Example: Constructing a detailed mnemonic story using specific sound patterns to remember complex theories.,False,True,True,False
3,Method of Loci,"Memorize by talking an imaginary walkimagine yourself ""placing"" what you need to remember around the room (one thing per area). Then, visualize yourself walking back through the room. Finally, see yourself picking up each item in the order you ""set it down.""",1-3,"Breaking down complex information into smaller, more manageable chunks and associating each piece with a specific location in their mental walk. Example: Memorizing vocabulary words by placing each word in a different room or area in their imaginary walk.","Enhancing memory and recall of subject-specific information. Example: Memorizing scientific formulas or historical dates by mentally ""placing"" each formula or date in a specific location during their mental walk.",Further strengthening memory and recall abilities. Example: Mentally associating different theories or models with specific locations in their mental walk to aid in comprehension and retention.,"Enhancing already proficient memory skills. Example: Memorizing large amounts of information, such as comprehensive study guides or extensive vocabulary lists, by mentally ""placing"" each piece of information in different locations along their imaginary walk.",True,False,True,False
4,Rote Learning,Technique based on repetition,1-3,Using repetition as a technique to memorize information. Example: Repeating a vocabulary word multiple times to remember its meaning.,Applying repetitive practice to solidify knowledge and recall. Example: Repeating mathematical formulas to improve accuracy and speed in problem-solving.,Leveraging rote learning for quick recall of essential facts and figures. Example: Memorizing historical dates through repetition to excel in exams.,Using selective rote learning for specific details within a broader context. Example: Memorizing specific quotes from literary works to support critical analysis.,False,False,True,True
5,Hidden message,Simple phrase to trigger longer list of information,< 1,Creating simple phrases to trigger the recall of longer lists of information. Example: Using an acronym to remember the steps of a scientific method.,Utilizing mnemonic devices to aid memory and retention of complex information. Example: Creating a memorable sentence where the first letter of each word represents key points in a historical event.,Developing sophisticated hidden messages to encode and retrieve extensive knowledge. Example: Using a rhyme scheme to recall a detailed list of elements in the periodic table.,Constructing intricate hidden messages to remember interconnected concepts and their relationships. Example: Creating a coded phrase to trigger the recall of various mathematical theorems and their applications.,False,True,True,False
6,Spider Diagram,Identify the key concepts Elaborate based on the center concepts Add links to connect related concepts to center,3-5,Identifying key concepts and organizing them in a visual diagram. Example: Creating a basic spider diagram to summarize the main characters in a novel.,Expanding spider diagrams to represent the relationships between concepts and subtopics. Example: Mapping out the connections between historical events using a spider diagram.,Elaborating on spider diagrams to include more detailed information and supporting evidence. Example: Creating a comprehensive spider diagram to analyze and compare different business models.,Using complex spider diagrams to showcase intricate relationships and connections within a subject. Example: Constructing a detailed spider diagram to illustrate the interactions between biological systems.,False,True,True,False
7,Black-Red-Green Method,"Black - Blatant Instructions (Must be done) Green - Gremlins (Subtle signals that might miss) Red - Require Input (Definition / Terms / Theory)""",< 1,"Following blatant instructions, noticing subtle signals, and grasping definitions, terms, and theories. Example: Using different colored highlighters to mark explicit instructions (black), subtle hints (green), and important terms (red).","Paying attention to blatant instructions, detecting subtle signals, and understanding definitions, terms, and theories. Example: Applying the Black-Red-Green Method to analyze and comprehend scientific research papers.","Analyzing blatant instructions, subtle signals, definitions, terms, and theories with a higher level of depth and critical thinking. Example: Utilizing the Black-Red-Green Method for understanding complex legal documents.","Applying the Black-Red-Green Method to absorb complex and sophisticated instructions, signals, and academic content. Example: Employing the method to tackle intricate philosophical texts.",False,True,True,False
8,REAP Method,Read - Go through the textbook once Encode - Rephraze in your own words Annotate - Critical understanding with extra notes Ponder - Read related materials / Discuss with others,1-3,"Going through the textbook, rephrasing content, adding extra notes, and exploring related materials to deepen understanding. Example: Using the REAP Method to study a challenging chapter in a history textbook.","Implementing the REAP Method to enhance critical understanding, retention, and exploration of topics across different subjects. Example: Applying the method to study scientific concepts and theories.","Leveraging the REAP Method to engage in critical analysis, synthesis, and discussions, integrating various perspectives. Example: Utilizing the method for in-depth study of literary works.","Utilizing the REAP Method for advanced comprehension, analysis, and interpretation of complex and interdisciplinary topics. Example: Applying the method to study interdisciplinary research papers.",False,True,True,False
9,PQRST Method,Preview - Glance over major headings / points in syllabus Question - Formulate questions to ask Read - Go through materials that may help to answer questions raised earlier Summary - Summarize the topics Test - Answer the questions raised earlier,3-5,"Glancing over major headings/points, formulating questions, going through related materials, summarizing topics, and answering questions. Example: Using the PQRST Method to study a chapter in a biology textbook.","Applying the PQRST Method to enhance reading comprehension, question formulation, summarization, and self-assessment. Example: Utilizing the method to study complex mathematical concepts.","Implementing the PQRST Method for deep understanding, critical analysis, synthesis, and evaluation.","Employing the PQRST Method as a systematic approach to deepening understanding and consolidating knowledge through effective previewing, questioning, reading, summarizing, and testing.",False,True,True,False
10,Flashcards,"Write the questions on the front side of a flashcard and the correct answer on the back, so student can repeatedly do the questions and check if their answer is correct ",1-3,Creating flashcards with questions on the front side and correct answers on the back to repeatedly practice and check their understanding. Example: Flashcards for vocabulary practice.,"Using flashcards as a tool to review and reinforce key concepts, definitions, and factual information. Example: Flashcards for studying scientific formulas.",Developing more complex flashcards that require higher-order thinking skills and critical analysis. Example: Flashcards for studying case studies or historical events.,Leveraging flashcards to review and synthesize information across different subjects and topics. Example: Flashcards for cross-disciplinary connections.,False,False,True,True
